k,pof,lambda_param,max_welfare_cost,group_costs,fcbc_objective,runtime,alpha,beta
14,1.5,0.5,0.8107580209919031,"{0: 0.8107580209919031, 1: 0.7265941576402226}",122.81901923438303,59.03286910598399,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.05,0.5,0.7801035250889331,"{0: 0.7801035250889331, 1: 0.7142305953524289}",121.24528135781274,60.9371594429831,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.10625,0.5,0.7877472711570817,"{0: 0.7877472711570817, 1: 0.703630884874624}",120.9338131736273,33.67984826496104,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.1625,0.5,0.7881522192505811,"{0: 0.7881522192505811, 1: 0.6919220212407666}",120.2937431190526,33.624219515011646,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.21875,0.5,0.8157427448634745,"{0: 0.8157427448634745, 1: 0.7047558500130152}",121.7559153925472,32.33883525204146,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.275,0.5,0.7926316911538924,"{0: 0.7926316911538924, 1: 0.6996143100914001}",120.8445054234594,30.69698442198569,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.33125,0.5,0.7886873272072653,"{0: 0.7886873272072653, 1: 0.6959418483674877}",120.53292972245464,31.44144521205453,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.3875,0.5,0.803384148398994,"{0: 0.803384148398994, 1: 0.7078703495703584}",121.59490845052996,31.219557803997304,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.44375,0.5,0.7703650115847858,"{0: 0.7703650115847858, 1: 0.7072326532284832}",120.6585124580965,32.57194467098452,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
15,1.5,0.5,0.7883886694060588,"{0: 0.7883886694060588, 1: 0.7064175648000596}",121.1044330711429,31.51627195504261,"{0: 0.033, 1: 0.067}","{0: 0.033, 1: 0.067}"
